9012_0,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###He showedcourage at difficult times, which helped him to succeed###extraordinary"
9250_2,"An interview is a discussion with someone in which you try to get information from them.  {46}There are three basic subtypes of interview: structured interviews, unstructured interviews and semistructured interviews.{47}Incidentally, “respondent” and “informant” are words that are sometimes used instead of “interviewee”.A great deal is provided by this personal contact: you are another human being, and interviewees will respond to you, in bodily presence, in an entirely different way from the way that they would have reacted to questionnaires that came through their letterboxes or to emails.{48}Most people want to help and give their opinions, and they will usually be energized to help by your physical presence.If you take the trouble to schedule a visit, you can be more or less guaranteed of a response. Most importantly, though, you will be able to relate to interviewees while you are talking to them.{49}You will be able to watch their behaviour which will give you important clues about how they feel about a topic. Because of the primacy of the personal contact, your appearance and tone are importanthow do you want to be seen? As “one of us”? As a person in authority? As an observer? …Or what?{50}However you decide to present yourself, it is good practice of course to try to put the interviewee at ease before the interview beginsto talk about the weather, about your journey, about anything that will break the ice###{48}Most people want to help and give their opinions, and they will usually be energized to help by your physical presence###A、This is a ready-made support for you.B、Its nature varies with the nature of the interviews.C、You will be able to hear and understand what they are saying.D、Your decision should influence the way that you look, sound and behave.E、The information may be facts or opinions or attitudes or any combination of these.F、Each involves the interviewer in fact-to-face contact or telephone contact with another person.G、You will be using these clues to make informed guesses about what the interviewees might really mean. "
9250_3,"An interview is a discussion with someone in which you try to get information from them.  {46}There are three basic subtypes of interview: structured interviews, unstructured interviews and semistructured interviews.{47}Incidentally, “respondent” and “informant” are words that are sometimes used instead of “interviewee”.A great deal is provided by this personal contact: you are another human being, and interviewees will respond to you, in bodily presence, in an entirely different way from the way that they would have reacted to questionnaires that came through their letterboxes or to emails.{48}Most people want to help and give their opinions, and they will usually be energized to help by your physical presence.If you take the trouble to schedule a visit, you can be more or less guaranteed of a response. Most importantly, though, you will be able to relate to interviewees while you are talking to them.{49}You will be able to watch their behaviour which will give you important clues about how they feel about a topic. Because of the primacy of the personal contact, your appearance and tone are importanthow do you want to be seen? As “one of us”? As a person in authority? As an observer? …Or what?{50}However you decide to present yourself, it is good practice of course to try to put the interviewee at ease before the interview beginsto talk about the weather, about your journey, about anything that will break the ice###{49}You will be able to watch their behaviour which will give you important clues about how they feel about a topic###A、This is a ready-made support for you.B、Its nature varies with the nature of the interviews.C、You will be able to hear and understand what they are saying.D、Your decision should influence the way that you look, sound and behave.E、The information may be facts or opinions or attitudes or any combination of these.F、Each involves the interviewer in fact-to-face contact or telephone contact with another person.G、You will be using these clues to make informed guesses about what the interviewees might really mean. "
9250_4,"An interview is a discussion with someone in which you try to get information from them.  {46}There are three basic subtypes of interview: structured interviews, unstructured interviews and semistructured interviews.{47}Incidentally, “respondent” and “informant” are words that are sometimes used instead of “interviewee”.A great deal is provided by this personal contact: you are another human being, and interviewees will respond to you, in bodily presence, in an entirely different way from the way that they would have reacted to questionnaires that came through their letterboxes or to emails.{48}Most people want to help and give their opinions, and they will usually be energized to help by your physical presence.If you take the trouble to schedule a visit, you can be more or less guaranteed of a response. Most importantly, though, you will be able to relate to interviewees while you are talking to them.{49}You will be able to watch their behaviour which will give you important clues about how they feel about a topic. Because of the primacy of the personal contact, your appearance and tone are importanthow do you want to be seen? As “one of us”? As a person in authority? As an observer? …Or what?{50}However you decide to present yourself, it is good practice of course to try to put the interviewee at ease before the interview beginsto talk about the weather, about your journey, about anything that will break the ice###{50}However you decide to present yourself, it is good practice of course to try to put the interviewee at ease before the interview beginsto talk about the weather, about your journey, about anything that will break the ice###A、This is a ready-made support for you.B、Its nature varies with the nature of the interviews.C、You will be able to hear and understand what they are saying.D、Your decision should influence the way that you look, sound and behave.E、The information may be facts or opinions or attitudes or any combination of these.F、Each involves the interviewer in fact-to-face contact or telephone contact with another person.G、You will be using these clues to make informed guesses about what the interviewees might really mean. "
9251_0,"阅读下面短文根据短文意思选择最佳答案Mr. Carrey worked at a big company. He went to work by bus. One day when he was standing at the busstop, he watched cars go by. Many of the cars were new Sherry 700s, and most of them were yellow.Mr. Carrey was a person who did not like to be different from other men. He always wore the same clothes as other men, ate the same food as other people, and did the same things after work as they did.Two months later, Mr. Carrey bought a new yellow Sherry 700. He was very pleased with it, and drove to work in it the next morning. When he saw all the other Sherry 700s, in front, behind and on both sides of him, he was even more pleased with his car.Mr. Carrey parked his car in a big carpark near the office building, and walked to his office. But when he came back at five o’clock, there were so many yellow Sherry 700s in the carpark that Mr. Carrey did not know which car was his. He tried his key in some of the cars, but people passing by gave him a look which he did not like. So he stopped.Mr. Carrey could do nothing but wait nearly forty minutes until his car was the only yellow Sherry 700 left in the carpark.（227words）###Why did Mr. Carreydecide to buy a yellow Sherry 700###A、Hedidn’tlike to be different from other men.B、Theyellow Sherry 700was cheap.C、Theyellow Sherry 700was easy to be found.D、He only liked this kind of car. "
9251_1,"阅读下面短文根据短文意思选择最佳答案Mr. Carrey worked at a big company. He went to work by bus. One day when he was standing at the busstop, he watched cars go by. Many of the cars were new Sherry 700s, and most of them were yellow.Mr. Carrey was a person who did not like to be different from other men. He always wore the same clothes as other men, ate the same food as other people, and did the same things after work as they did.Two months later, Mr. Carrey bought a new yellow Sherry 700. He was very pleased with it, and drove to work in it the next morning. When he saw all the other Sherry 700s, in front, behind and on both sides of him, he was even more pleased with his car.Mr. Carrey parked his car in a big carpark near the office building, and walked to his office. But when he came back at five o’clock, there were so many yellow Sherry 700s in the carpark that Mr. Carrey did not know which car was his. He tried his key in some of the cars, but people passing by gave him a look which he did not like. So he stopped.Mr. Carrey could do nothing but wait nearly forty minutes until his car was the only yellow Sherry 700 left in the carpark.（227words）###Can you think of another way to help Mr. Carrey to find his car quickly on the next day###Possible answers:He could stick a white paper on his car."
9251_2,"阅读下面短文根据短文意思选择最佳答案Mr. Carrey worked at a big company. He went to work by bus. One day when he was standing at the busstop, he watched cars go by. Many of the cars were new Sherry 700s, and most of them were yellow.Mr. Carrey was a person who did not like to be different from other men. He always wore the same clothes as other men, ate the same food as other people, and did the same things after work as they did.Two months later, Mr. Carrey bought a new yellow Sherry 700. He was very pleased with it, and drove to work in it the next morning. When he saw all the other Sherry 700s, in front, behind and on both sides of him, he was even more pleased with his car.Mr. Carrey parked his car in a big carpark near the office building, and walked to his office. But when he came back at five o’clock, there were so many yellow Sherry 700s in the carpark that Mr. Carrey did not know which car was his. He tried his key in some of the cars, but people passing by gave him a look which he did not like. So he stopped.Mr. Carrey could do nothing but wait nearly forty minutes until his car was the only yellow Sherry 700 left in the carpark.（227words）###Why didMr. Carreystop tryinghis key inmoreof the cars###A、Because he was tired.B、Because he was tired.C、Because many people came over to see him.D、Because he didn’t want others to misunderstand him. "
9251_3,"阅读下面短文根据短文意思选择最佳答案Mr. Carrey worked at a big company. He went to work by bus. One day when he was standing at the busstop, he watched cars go by. Many of the cars were new Sherry 700s, and most of them were yellow.Mr. Carrey was a person who did not like to be different from other men. He always wore the same clothes as other men, ate the same food as other people, and did the same things after work as they did.Two months later, Mr. Carrey bought a new yellow Sherry 700. He was very pleased with it, and drove to work in it the next morning. When he saw all the other Sherry 700s, in front, behind and on both sides of him, he was even more pleased with his car.Mr. Carrey parked his car in a big carpark near the office building, and walked to his office. But when he came back at five o’clock, there were so many yellow Sherry 700s in the carpark that Mr. Carrey did not know which car was his. He tried his key in some of the cars, but people passing by gave him a look which he did not like. So he stopped.Mr. Carrey could do nothing but wait nearly forty minutes until his car was the only yellow Sherry 700 left in the carpark.（227words）###Please write an ending to this story###possible answers:The next day, Mr. Carrey colored his car red./ The next day, Mr. Carrey rode to work./ The next day, Mr. Carrey parked his car in a small car-park far from the office building."
9254_0,"A few years ago, I lived in Boston and worked in Cambridge. I bicycled every day to work. To find my way, I used my phone, which sent me the shortest route. But after a month of cycling every day on the carpacked streets, I took a different route one day. I'm not entirely sure why I took a different route that day. I just remember a feeling of surprise; surprise at finding a street with no cars; surprise at finding a street decorated by fallen leaves and surrounded by trees. But after the feeling of surprise, I felt . How could I have been so blind? For an entire month, I was so trapped in my mobile app that a journey to work became one thing only: the shortest path. In this single journey, there was no thought of enjoying the road, no pleasure inconnecting with nature, no possibility of looking people in the eyes. And why? Because I was saving a minute out of my commute (通勤).As an engineer, I focused on efficiency for many years. But after that experience, I changed. I changed my research from traditional datamining to understanding how people experience the city. The result of that research has been the creation of new maps, maps where you don't only find the shortest path, but also the most enjoyable path.Einstein once said, “Logic will get you from A to B. Imagination will take you everywhere.” So with a bit of imagination, we needed to understand which parts of the city people find beautiful. At the University of Cambridge, with colleagues, we thought about this simple experiment. We built a crowdsourcing platform, a web game. Players are shown pairs of urban scenes, and they're asked to choose which one is more beautiful, quiet and happy. Based on thousands of user votes, then we are able to see where consensus emerges. We are able to see what urban scenes make people happy.After that work, I joined Yahoo Labs to build a new map of the city, a map based on human emotions. On this map, you're not only able to see the shortest route, but you're also able to see the beautiful path, the quiet path. In tests, participants found the happy, the beautiful, the quiet path far more enjoyable than the shortest one, and that was achieved just by adding a few minutes to travel time.What my research tries to do is avoid the danger of the single path, to avoid robbing people of fully experiencing the city in which they live. Walk the path through the park, not through the car park, and you have an entirely different path. Walk the path full of people you love and not full of cars, and you have an entirely different path. It's that simple###Which word do you think should be put in the blank in Paragraph 1###A、shameB、confusionC、angerD、anxiety "
9254_1,"A few years ago, I lived in Boston and worked in Cambridge. I bicycled every day to work. To find my way, I used my phone, which sent me the shortest route. But after a month of cycling every day on the carpacked streets, I took a different route one day. I'm not entirely sure why I took a different route that day. I just remember a feeling of surprise; surprise at finding a street with no cars; surprise at finding a street decorated by fallen leaves and surrounded by trees. But after the feeling of surprise, I felt . How could I have been so blind? For an entire month, I was so trapped in my mobile app that a journey to work became one thing only: the shortest path. In this single journey, there was no thought of enjoying the road, no pleasure inconnecting with nature, no possibility of looking people in the eyes. And why? Because I was saving a minute out of my commute (通勤).As an engineer, I focused on efficiency for many years. But after that experience, I changed. I changed my research from traditional datamining to understanding how people experience the city. The result of that research has been the creation of new maps, maps where you don't only find the shortest path, but also the most enjoyable path.Einstein once said, “Logic will get you from A to B. Imagination will take you everywhere.” So with a bit of imagination, we needed to understand which parts of the city people find beautiful. At the University of Cambridge, with colleagues, we thought about this simple experiment. We built a crowdsourcing platform, a web game. Players are shown pairs of urban scenes, and they're asked to choose which one is more beautiful, quiet and happy. Based on thousands of user votes, then we are able to see where consensus emerges. We are able to see what urban scenes make people happy.After that work, I joined Yahoo Labs to build a new map of the city, a map based on human emotions. On this map, you're not only able to see the shortest route, but you're also able to see the beautiful path, the quiet path. In tests, participants found the happy, the beautiful, the quiet path far more enjoyable than the shortest one, and that was achieved just by adding a few minutes to travel time.What my research tries to do is avoid the danger of the single path, to avoid robbing people of fully experiencing the city in which they live. Walk the path through the park, not through the car park, and you have an entirely different path. Walk the path full of people you love and not full of cars, and you have an entirely different path. It's that simple###How did the author's experience change his focus on efficiency###Possible answer:The author took a different route instead of the shortest route to work one day, and he realized that he had neglected the beauty of scenes along the way and the pleasure of enjoying the road for too long, merely for the purpose of saving time. That experience changed his focus on efficiency."
9254_2,"A few years ago, I lived in Boston and worked in Cambridge. I bicycled every day to work. To find my way, I used my phone, which sent me the shortest route. But after a month of cycling every day on the carpacked streets, I took a different route one day. I'm not entirely sure why I took a different route that day. I just remember a feeling of surprise; surprise at finding a street with no cars; surprise at finding a street decorated by fallen leaves and surrounded by trees. But after the feeling of surprise, I felt . How could I have been so blind? For an entire month, I was so trapped in my mobile app that a journey to work became one thing only: the shortest path. In this single journey, there was no thought of enjoying the road, no pleasure inconnecting with nature, no possibility of looking people in the eyes. And why? Because I was saving a minute out of my commute (通勤).As an engineer, I focused on efficiency for many years. But after that experience, I changed. I changed my research from traditional datamining to understanding how people experience the city. The result of that research has been the creation of new maps, maps where you don't only find the shortest path, but also the most enjoyable path.Einstein once said, “Logic will get you from A to B. Imagination will take you everywhere.” So with a bit of imagination, we needed to understand which parts of the city people find beautiful. At the University of Cambridge, with colleagues, we thought about this simple experiment. We built a crowdsourcing platform, a web game. Players are shown pairs of urban scenes, and they're asked to choose which one is more beautiful, quiet and happy. Based on thousands of user votes, then we are able to see where consensus emerges. We are able to see what urban scenes make people happy.After that work, I joined Yahoo Labs to build a new map of the city, a map based on human emotions. On this map, you're not only able to see the shortest route, but you're also able to see the beautiful path, the quiet path. In tests, participants found the happy, the beautiful, the quiet path far more enjoyable than the shortest one, and that was achieved just by adding a few minutes to travel time.What my research tries to do is avoid the danger of the single path, to avoid robbing people of fully experiencing the city in which they live. Walk the path through the park, not through the car park, and you have an entirely different path. Walk the path full of people you love and not full of cars, and you have an entirely different path. It's that simple###Which of the following might be the author's opinion###A、He bicycled every day to work from Boston to Cambridge.B、It's natural for an engineer to focus a lot on efficiency.C、Appreciating nature matters more than saving time.D、A new map should be created for tourists in the city. "
9254_3,"A few years ago, I lived in Boston and worked in Cambridge. I bicycled every day to work. To find my way, I used my phone, which sent me the shortest route. But after a month of cycling every day on the carpacked streets, I took a different route one day. I'm not entirely sure why I took a different route that day. I just remember a feeling of surprise; surprise at finding a street with no cars; surprise at finding a street decorated by fallen leaves and surrounded by trees. But after the feeling of surprise, I felt . How could I have been so blind? For an entire month, I was so trapped in my mobile app that a journey to work became one thing only: the shortest path. In this single journey, there was no thought of enjoying the road, no pleasure inconnecting with nature, no possibility of looking people in the eyes. And why? Because I was saving a minute out of my commute (通勤).As an engineer, I focused on efficiency for many years. But after that experience, I changed. I changed my research from traditional datamining to understanding how people experience the city. The result of that research has been the creation of new maps, maps where you don't only find the shortest path, but also the most enjoyable path.Einstein once said, “Logic will get you from A to B. Imagination will take you everywhere.” So with a bit of imagination, we needed to understand which parts of the city people find beautiful. At the University of Cambridge, with colleagues, we thought about this simple experiment. We built a crowdsourcing platform, a web game. Players are shown pairs of urban scenes, and they're asked to choose which one is more beautiful, quiet and happy. Based on thousands of user votes, then we are able to see where consensus emerges. We are able to see what urban scenes make people happy.After that work, I joined Yahoo Labs to build a new map of the city, a map based on human emotions. On this map, you're not only able to see the shortest route, but you're also able to see the beautiful path, the quiet path. In tests, participants found the happy, the beautiful, the quiet path far more enjoyable than the shortest one, and that was achieved just by adding a few minutes to travel time.What my research tries to do is avoid the danger of the single path, to avoid robbing people of fully experiencing the city in which they live. Walk the path through the park, not through the car park, and you have an entirely different path. Walk the path full of people you love and not full of cars, and you have an entirely different path. It's that simple###How do you understand the underlined sentence in Paragraph 3###Possible answer:If we want to be logic, we focus on efficiency and always follow the shortest and fastest route. However, life is not always about logic and efficiency. Imagination also matters. Sometimes we also need to get out of our crazy pursuit of efficiency and explore more possibilities with our imagination."
9254_4,"A few years ago, I lived in Boston and worked in Cambridge. I bicycled every day to work. To find my way, I used my phone, which sent me the shortest route. But after a month of cycling every day on the carpacked streets, I took a different route one day. I'm not entirely sure why I took a different route that day. I just remember a feeling of surprise; surprise at finding a street with no cars; surprise at finding a street decorated by fallen leaves and surrounded by trees. But after the feeling of surprise, I felt . How could I have been so blind? For an entire month, I was so trapped in my mobile app that a journey to work became one thing only: the shortest path. In this single journey, there was no thought of enjoying the road, no pleasure inconnecting with nature, no possibility of looking people in the eyes. And why? Because I was saving a minute out of my commute (通勤).As an engineer, I focused on efficiency for many years. But after that experience, I changed. I changed my research from traditional datamining to understanding how people experience the city. The result of that research has been the creation of new maps, maps where you don't only find the shortest path, but also the most enjoyable path.Einstein once said, “Logic will get you from A to B. Imagination will take you everywhere.” So with a bit of imagination, we needed to understand which parts of the city people find beautiful. At the University of Cambridge, with colleagues, we thought about this simple experiment. We built a crowdsourcing platform, a web game. Players are shown pairs of urban scenes, and they're asked to choose which one is more beautiful, quiet and happy. Based on thousands of user votes, then we are able to see where consensus emerges. We are able to see what urban scenes make people happy.After that work, I joined Yahoo Labs to build a new map of the city, a map based on human emotions. On this map, you're not only able to see the shortest route, but you're also able to see the beautiful path, the quiet path. In tests, participants found the happy, the beautiful, the quiet path far more enjoyable than the shortest one, and that was achieved just by adding a few minutes to travel time.What my research tries to do is avoid the danger of the single path, to avoid robbing people of fully experiencing the city in which they live. Walk the path through the park, not through the car park, and you have an entirely different path. Walk the path full of people you love and not full of cars, and you have an entirely different path. It's that simple###What is “a map based on human emotions” (Paragraph 4)? Do you think it is necessary to create such a map? Explain your opinion with examples or personal experience. (No less than 60 words)###Possible answer 1:According to the passage, “a map based on human emotions”means that the map does not only concern direction and efficiency. Italso cares about how people feel. It offers not only the shortest route, but also an enjoyable route which allows them to enjoy the beauty along the way.  I support the idea of a map based on human emotions, we should be given more options in life and learn to enjoy the process, instead of focusing too much on the result. Even if we are busy in today's fast-paced world, a map based on human emotions will remind us to slow down a bit, and enjoy life.Possible answer2:According to the passage, “a map based on human emotions”means that the map does not only concern direction and efficiency. It also cares about how people feel. It offers not only the shortest route, but also an enjoyable route which allows them to enjoy the beauty along the way.The idea sounds great, but I don't think it necessary to create such a map, as maps should be a tool to offer guidance and improve our efficiency. If I want to explore a city, I will either consult a tourist guidebook, or take on my own adventure and experience it myself, instead of relying on information provided by a map."
9255_0,大题说明：阅读下面短文根据短文意思选择最佳答案###The underlined word “present” means ###A、奖品B、玩具C、礼物D、纪念 
9255_1,大题说明：阅读下面短文根据短文意思选择最佳答案###What is NOT in the schoolbag###A、A white model plane.B、A pencil case.C、Two books.D、A set of keys. 
9255_2,大题说明：阅读下面短文根据短文意思选择最佳答案###What is the article about###A、A picture of Frank’s room.B、A picture ofDaming’s room.C、A picture of Frank.D、A picture ofDaming’s. 
9255_3,大题说明：阅读下面短文根据短文意思选择最佳答案###Whatdo you think of Daming’s room? Why###Possible answer: I think Daming’s room is nice because thosethings inthe roomaretidy.
9256_0,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###What happened to Juliane when the plane crashed###She fell through the trees and landed on the ground."
9256_1,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###What did Juliane first do after she woke up###She stood up and started to look for help."
9256_2,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###Why did Juliane think the most important thing was to find fresh water###She knew that the stream would become a river, and there were often villages near a river."
9256_3,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###Why was the journey difficult for her###Because she often had to walk or swim through dangerous water full of crocodiles. And when the animals attacked her, she fought them with a stick."
9256_4,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###What helped Juliane walk out of the forest###Her knowledge about the forest/her experience of living in the forest and her spirit of being brave to fight against the difficulties."
9256_5,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###What would Juliane do after she walked out of the forest###She would find some food and have a rest."
9256_6,"阅读下面短文根据短文意思选择最佳答案Juliane KoepkeIn 1971, a plane crashed(坠毁) in theAmazon forest in Peru. Only one person survived. She was a 17yearold German girl called Juliane Koepke. When the planecrashed,Juliane fellthrough the trees and landed on the ground.She did not wake up for a day. When she did, she had a terrible headache and a bad cut on her arm, but she could walk. She stood up and started to look for help.Soon Juliane realized that she was by herself in the forest. She needed to find her way to a town or village, but how could she do that? She knew that the plane had crashed in the middle of the largest forest in the world!Luckily, Juliane knew something about the forest. Her parents were scientists. They were studying the forest in Peru, and that is where Juliane grew up. She knew that the most important thing was to find fresh water.When Juliane found a stream, she followed it in the direction that the water was moving. She knew that the stream would become a river, and there were often villages near a river. It wasn´t an easy journey for her. She walked for days. She often had to walk or swim through dangerous water full of crocodiles(鳄鱼). When the animals attacked（攻击) her, she fought them with a stick.Rescue(营救) planes were looking for people who were still alive after the accident, but after ten days, they decided to give up. They knew that they would never find anybody. Two days later, Juliane Koepke walked out of the forest, hungry and very tired, but alive!###What do you think of Juliane###She is clever and brave."
9257_0,"Read the passage and finish the following tasks.Why should we all read Huckleberry Finn?Some people insist that we all should read Huckleberry Finn because it is classic, others, however, doubt it for the same reason, arguing that just because it is classic doesn't mean we all should read it. Let's forget for the moment the “classic” argument: it is a classic piece of American literature that touches on timeless themes. Instead, let's look at the novel: The story follows the adventures of a poor, uneducated white boy who is accompanied by a slave through the South. While not strictly a history of the times, it does focus on racism, prejudice, slavery and addiction among other themes. It does this through humor and satire and insight into the human condition.One of the most telling episodes in the novel is the feud(不和) between the Grangerfords and Shepherdsons. In a sense, the Grangerfords and the Shepherdsons stand for the prejudice between blacks and whites. But Huck doesn't see the connection; his journey for freedom is really Jim's journey for freedom, because all of the adventures together help him realize that Jim is a human being who deserves his own freedom, despite the color of his skin and the “way it's always been done” that Huck's been taught.The word “negro” can be seen everywhere in the work, deliberately making people during Mark Twain's time uncomfortable, but seriously making people of our time question whether the book should even be taught today. Several editors have tried to lessen its impact or removed it altogether. But that word is a barometer of our times it's a word that marks this as a different time, when it's used in a different way, in a different context as if to wash the word of its past and give it a different direction. But it is a word that deserves to be discussed along with other words that mark our prejudices and our fears.Why read Huck Finn? At the beginning of the novel, Huck can't possibly understand Jim's pain at being separated from his family and in the end, he can't possibly see Jim being allowed to remain a slave to anyone. The novel has some genuinely funny and frightening moments, some insights, some questions, some flaws, but at the heart is a boy who learns a great deal about the world around him, who takes us on an adventure into what is in our own hearts###The writer thinks that ###A、everyone should read classicsB、all classics are worth readingC、the novel has its own valueD、the argument can be helpful  "
