序号,题干
4113,一个盒子装有除颜色外其它均相同的2个红球和3个白球，现从中任取2个球，则取到的是一个红球、一个白球的概率为_____
4119,"设圆（x-2）²+y²=1的弦AB的中点为P（3,1），则直线AB的方程为____。"
4133,“龟兔赛跑”的故事同学们都非常熟悉，图中的线段OD和折线O-A-B-C分别表示乌龟和兔子在赛跑过程中路程与时间的关系.若兔子在醒来后，以24千米/时的速度跑向终点，结果还是比乌龟晚到了1分钟.请你根据图中给出的信息，算算兔子中间停下睡觉用了多少分钟？__img8505.jpg
4134,如图，将矩形ABCD沿直线AE折叠，顶点D恰好落在BC边上F点处，已知CE=3cm，AB=8cm，求图中阴影部分的面积． __img8506.jpg
4136,二进制由德国数理哲学大师莱布尼兹发现，是当前的计算机系统使用的计数方式，在人们的日常生活中起到了不可替代的作用.它只使用0，1两个数字符号，逢2进位，非常简单方便，易于用电子方式实现.例如，十进制中的1~10在二进制中的表示如下表所示： 十进制  1  2  3  4  5  6  7  8  9 10二进制  1 10 11 100 101 110 111100010011010根据表中的规律，十进制中的“12”在二进制中应表示为      。
4138,小明每天睡眠时间是8小时，占全天时间的_____．
4140,某商场销售一批衬衫，每件成本为50元，如果按每件60元出售，可销售800件；如果每件提价1元出售，其销售量就减少20件，物价部门规定商品定价时，利润不得超过进价的50%，如果商场销售这批衬衫，要获利润12000元，那么这种衬衫售价应定为多少元？
4142,已知四个命题：①如果一个数的相反数等于它本身，则这个数是0；②一个数的倒数等于它本身，则这个数是1；③一个数的算术平方根等于它本身，则这个数是1或0；④如果一个数的绝对值等于它本身，则这个数是正数．其中真命题有___________.
4144,请用直尺画出边长为4cm的正方形
4145,图1是以a，b，c为边的直角三角形，图2是用这样的4个全等的直角三角形拼出的一个大正方形，这就是著名的“赵爽弦图”．赵爽利用这个图形证明了勾股定理.请你写出一个用a，b，c表达图2全部含义的等式：_____．__img8513.jpg
4146,在□ABCD中，已知∠A-∠B=60°，那么∠C的度数是_____．
4147,"在平面直角坐标系中，(a,4)是直线y=-x+2上一点，则a的值为_____"
4149,已知△ABC为等腰三角形，∠A=120°，则∠B为多少？小明思考的步骤如下：①因为△ABC为等腰三角形，可知AB=AC．②可知∠B=∠C=180°-∠A，③∠B=30°．你认为小明的思考中哪一个步骤有问题？
4150,七个边长为1的正方形按如图所示的方式放置在平面直角坐标系xOy中，直线l经过点A（4，4）且将这七个正方形的面积分成相等的两部分，则直线l与x轴的交点B的横坐标为_____
4152,已知：a²-a-3=0，求代数式a（3a-2）-b²-（a+b）（a-b）的值．
4153,在平面直角坐标系中，孔明做走棋的游戏，其走法是：棋子从原点出发，第1步向右走1个单位，第2步向左走2个单位，第3步向上走1个单位，第4步向右走1个单位…依此类推，第n步的走法是：当n能被3整除时，则向上走1个单位；当n被3除，余数为1时，则向右走1个单位；当n被3除，余数为2时，则向左走2个单位，当走完第100步时，棋子所处位置的坐标是_____
4154,一艘轮船自西向东航行，在A处测得东偏北21.3°方向有一座小岛C，继续向东航行60海里到达B处，测得小岛C此时在轮船的东偏北63.5°方向上．之后，轮船继续向东航行多少海里，距离小岛C最近？（参考数据：sin21.3°≈9/25，tan21.3°≈2/5，sin63.5°≈9/10，tan63.5°≈2）
4156,小明每天睡眠时间是8小时，占全天时间的_____．
4162,"对于有理数x，y，定义新运算x*y=ax²+bx+y，其中a，b是常数，等式右边是通常的加法和乘法运算，已知2*3=15,4*4=20，求（-1）*1的值。"
4165,如图，已知四边形ABCD中，∠B＝90°，AB＝3，BC＝4，CD＝12，AD＝13，求四边形ABCD的面积.__img8526.jpg
4167,若命题p : ∀x∈R，x2+2ax+1≥0是真命题，则实数a的取值范围是______
4168,已知一个正多边形的每个外角都等于72°，则这个正多边形的边数是_____.
4169,如果a，b互为相反数，x，y互为倒数，则2015（a+b）mdash2016xy的值是______.
4172,"我们知道|x|的几何意义是：在数轴上数x对应的点与原点的距离，也就是说，|x|表示在数轴上数x与数0对应点之间的距离，这个结论可以推广为：|m-n|的几何意义是数轴上表示m的点A与表示n的点B之间的距离.参考阅读材料，解答下列问题：①方程|x﹣1|=2的解为_______________．②方程|x﹣2|+|x+3|=7的解为_____③结合数轴求得|x﹣2|+|x+3|的最小值为_______________,取得最小值时x的取值范围为_______________.④满足|x+1|+|x+4|＞3的x的取值范围为_______________."
4173,若x，y∈R，且2x²+3y²=6，则x²+y²的最小值是_____.
4176,想要了解某市初中生的视力情况，需要哪些数据？可以采用哪些方式获得这些数据？
4179,如图，AB为一棵大树，在树上距地面10米的D处有两只猴子，它们同时发现地面上的C处有一筐水果，一只猴子从D处上爬到树顶A处，利用拉在A处的滑绳AC，滑到C处，另一只猴子从D处滑到地面B，再由B跑到C，已知两猴子所经过的路程都是15米，求树高AB．
4183,解方程：x²-4x-1=0．
4184,一个物理实验装置如图所示，∠BAC=90º，∠B=20º，为了装置的稳定性，在BC的中点D处连接木条AD，AD=50cm.求装置面BC长和∠CDA的度数.__img8539.jpg
4185,计算a²b-9b=_____．
4186,如果关于的方程x²+2x+c=0没有实数根，那么写出一个符合题意的c的值是    ．
4187,20×20.1-1.9×201
4191,如图，在△ABC中，点D在AB上，且CD=CB，点E为BD的中点，点F为AC的中点，连结EF交CD于点M，连接AM．可证：EF=1/2AC．‎若∠BAC=45°，求线段AM、DM、BC之间的数量关系．__img8547.jpg
4192,《九章算术》是中国传统数学最重要的著作，奠定了中国传统数学的基本框架，其中方程术是重要的数学成就。书中有一个方程问题：今有醇酒一斗，直钱五十；行酒一斗，直钱一十。今将钱三十，得酒二斗。问醇、行酒各得几何？意思是：今有美酒一斗的价格是50钱；普通酒一斗的价格是10钱。现在买两种酒2斗共付30钱，问买美酒、普通酒各多少？设买美酒x都，买普通酒y斗，则可列方程组为______．
4196,请你写出一个一次函数，满足条件：①经过第一、三、四象限；②与y轴的交点坐标为（0，-1）.此一次函数的解析式可以是_____．
4197,命题“偶函数的图象关于y轴对称”的否定是______．
4202,已知m是关于x的方程x2﹣2x﹣3=0的一个根，则2m2﹣4m=　    　．
4203,某班共30人，其中15人喜爱篮球运动，10人喜爱兵乓球运动，8人对这两项运动都不喜爱，则喜爱篮球运动但不喜爱乒乓球运动的人数为______
4204,请你任写出一个解集为x＞1的一元一次不等式_____(不含x＞1)．
4206,函数f(x)=lnx-x+2的零点个数为_________.
4211,直线a⊂平面α，平面α∩平面β=b，a∥b，则a与β的位置关系是____________。
4216,"若A（-1,2），B（5,4）在圆上，圆心P在x轴上,圆的方程为_______."
4217,已知x=√2-1，求代数式x²+2x-5的值_______．
4221,"已知：如图，在四边形ABCD中, BD平分 ∠ABC,∠A+∠C=180°．求证：AD=CD.__img8569.jpg"
4222,在不透明的袋子中有黑棋子10枚和白棋子若干（它们除颜色外都相同），现随机从中摸出10枚记下颜色后放回，这样连续做了10次，记录了如下的数据:次数12345678910黑棋数1302342113根据以上数据，可以估计袋中的白棋子数量大约为_____枚．
4223,"完全相同的3个小球上面分别标有数-2，-1,1，将其放入一个不透明的盒子中后摇匀，再从中随机摸球两次（第一次摸出球后放回摇匀），两次摸到的球上数之和是负数的概率_______"
4225,轮船顺水航行112千米和逆水航行70千米所用的时间恰好相等，水的流速是3千米/时，则轮船在静水中的速度是_____千米/时.
4226,因式分解：（x+m）²-6（x+m）（x-n）+9（x-n）²
4227,"“火流星”是中国传统杂技表演的经典节目，演员用一根细绳系着火把，抡起绳子，火把画出的美丽的圆形光圈。演员或抛或接，或舞或跳，""流星""上下盘旋飞舞，溢光流彩，整套动作惊险神速，好不壮观!请你用数学的原理，解释圆形光圈是如何形成的？"
4229,统计资料表明，A省某年的城市建成区域（城市建成区域是指城市行政区内实际已成片开发建设、基本具备市政公用设施和公共设施的地区，简称建成区）面积约为1316km²，城市建成区里的园林绿地面积约为373km²。五年后，该省建成区面积增加了300km²左右，此时城市建成区园林绿地率（城市建成区园林绿地面积占城市建成总面积的百分比）超过了35%根据以上资料，利用一元一次不等式解决问题；这五年，A省增加的绿地面积超过了多少平方千米？
4235,方程x²-2x=0的根为____________.
4239, 李阿姨家的营养早餐配方：200ml牛奶，50g面包，40g坚果，20g牛肉.某日早餐，她准备了200g面包，按照营养早餐配方，她需要准备_____ g牛肉
4242,小明每天睡眠时间是8小时，占全天时间的_____．
4243,12.24°= _____°_____′_____″.
4244,描点法是研究函数图象的重要方法．采用描点法，画出函数__img8599.jpg的图像，判断下列命题的正误.①该函数图象与y轴相交；②该函数图象与x轴相交；③该函数图象不过原点；④该函数图象是轴对称图形；⑤该函数在x>0时有最小值．
4250,如图，在四边形ABCD中，∠A=∠B=90°，点E为AB中点，AB=BC=4，CD=5，DA=1，求证：DE⊥CE．__img8606.jpg
4252,一株美丽的勾股树，其中所有的四边形都是正方形，所有的三角形都是直角三角形.若正方形A、B、C、D的边长分别为3、5、2、3，则最大正方形E的面积是_____.
4253,小明手中有５张扑克牌，其中２张为不同花色的K，３张为不同花色的J，有５次出牌机会（每次可以出，也可以不出，但5次之内必须将手中的牌出完），每次只能出一种点数的牌但出的张数不限，请问小明有多少种不同的出牌方法？
4254,"平面直角坐标系中两点坐标为：A(2,4),B(0,-1)，点C在X轴，使得|CA-CB|的值最大，求点C的坐标．"
4255,"在平面直角坐标系中，点O为坐标原点，点A坐标为（3,0），点B在正比例函数y=3x的图象上，若△OAB的面积为3时，求B点的坐标."
4257,现有橡皮泥制作的底面半径为5、高为4的圆锥和底面半径为2、高为8的圆柱各一个。若将它们重新制作成总体积与高均保持不变，但底面半径相同的新的圆锥与圆柱各一个，则新的底面半径为_____
4259,设有两个命题，命题p:关于x的不等式ax＞1（a＞0，且a≠1）的解集是{x|x＜0}；命题q:函数y=lg（ax2﹣x+a）的定义域为R．如果p∨q为真命题，p∧q为假命题，则实数a的取值范围是_______
4262,经过不在同一条直线上的4个点能否作圆？
4263,估计6个人中有2个人的生肖相同的概率时，可用下列方法模拟试验：①用12个编有号码，大小相同的球代替试验；②用12张写有数字1～12的纸条进行抽签试验；③用6个编号有号码，大小相同的球代替试验；④用6张写有数字1～6的纸条进行抽签试验．其中正确的为（　　）A.  ①② B .②③ C .③④ D .①④
4264,分解因式：ab³-4ab=_______________．
4266,为检验甲乙丙三厂所生产的乒乓球的质量情况，应怎样设计统计活动？
4273,在等式y=kx+2中，当x=2时，y=5，则k=_______．
4274,计算： ①(－ab²)²－5ab·ab³         ②(x+3)(3x－2)
4280, 李阿姨家的营养早餐配方：200ml牛奶，50g面包，40g坚果，20g牛肉.某日早餐，她准备了200g面包，按照营养早餐配方，她需要准备_____ g牛肉
4281,李阿姨家的营养早餐配方：200ml牛奶，50g面包，40g坚果，20g牛肉.某日早餐，她准备了200g面包，按照营养早餐配方，她需要准备      g牛肉
4285,"已知过A(4，1)的圆C与直线x-y-1=0相切于点B(2,1)，则圆C的方程为_______."
4289,写出一个二次三项的多项式，这个多项式可以是_______．
4297,将点A（-2，1）向右平移5个单位长度得到的点B在第_____象限.
4298,"在平面直角坐标系xoy中，将点（-2,3）绕原点O旋转180°，所得到的对应点的坐标为_______________．"
4302,利用函数图象求方程x2－4x＋3＝0的解．
4303,已知一次函数y=kx+b中自变量x的取值范围为-2≤x≤6，相应的函数值的范围是-11≤x≤9，求此函数的解析式．
4305,计算（-2m³）²=_____．
4307,列方程解应用题：某工厂废气年排放量为450万立方米，为改善空气质，决定分两期治理，使废气的排放量减少到288万立方米．如果每期治理中废气减少的百分率相同，求每期减少的百分率．
4308, 二进制由德国数理哲学大师莱布尼兹发现，是当前的计算机系统使用的计数方式，在人们的日常生活中起到了不可替代的作用.它只使用0，1两个数字符号，逢2进位，非常简单方便，易于用电子方式实现.例如，十进制中的1~10在二进制中的表示如下表所示： 十进制  1  2  3  4  5  6  7  8  9 10二进制  1 10 11 100 101 110 111100010011010根据表中的规律，十进制中的“12”在二进制中应表示为_____ 。
4309,一个口袋中有红球、白球共10个，这些球除颜色外都相同，将口袋中的球搅拌均匀，从中随机摸出一个球，记下它的颜色后再放回口袋中，不断重复这一过程，共摸了100次球，发现有71次摸到红球．请你估计这个口袋中红球的数量为_____个．
4310,请举例生活中的平移现象和旋转现象
4312,如图，Rt△ABC中，∠C=90º，AC=BC，D是AB的中点，把Rt△DEF的直角顶点放在点D，两直角边分别交边CA、CB于M、N，则∠DMN的度数是___________.
4318,在直线上依次摆放着七个正方形（如图所示）．已知斜放置的三个正方形的面积分别是1、2、3，正放置的四个正方形的面积依次是__img8667.jpg，则__img8668.jpg_____．__img8669.jpg
4319,请举例生活中的平移现象和旋转现象
4322,用不等式表示“b的2倍与7的差是负数”_____．
4323,《九章算术》是中国传统数学最重要的著作，奠定了中国传统数学的基本框架。它的数成就主要包括开方术、正负术和方程术．其中，方程术是《九章算术》最高的数学成就．《九章算术》中记载：“今有甲乙二人持钱不知其数．甲得乙半而钱五十，乙得甲太半而钱亦五十．问甲、乙持钱各几何？”译文：“假设有甲乙二人，不知其钱包里有多少钱．若乙把自己一半的钱给甲，则甲的钱数为50；而甲把自己2/3的钱给乙，则乙的钱数也能为50．问甲、乙各有多少钱？”设甲持钱为x，乙持钱为y，可列方程组为__________．
4325, 地图上1厘米代表5千米，房山区政府与天安门两地在地图上相距6.8厘米，则房山区政府与天安门两地实际相距_____千米
4327,经过不在同一条直线上的4个点能否作圆？
4328,一组数据1，2，4，5，5，5，8，8，9试分析说明这组数据的众数、中位数和平均数各是多少？
4330,若关于x的分式方程__img8677.jpg无解，求a的值。
4334,在整式乘法中，我们可以得到__img8682.jpg其证明过程如下：__img8683.jpg            在分式中，我们也可以得到类似的结论：当__img8684.jpg时，__img8685.jpg            根据以上过程，求当__img8686.jpg时，__img8687.jpg的最小值.
4335,一台机床加工5个零件，检测时，发现有1个超出设计尺寸0.03毫米，可以记作+0.03.有1个不足设计尺寸0.02毫米，可以记作_______.
4337,"对于有理数x，y，定义新运算x*y=ax²+bx+y，其中a，b是常数，等式右边是通常的加法和乘法运算，已知2*3=15,4*4=20，求（-1）*1的值。"
4346,"对于有理数x，y，定义新运算x*y=ax²+bx+y，其中a，b是常数，等式右边是通常的加法和乘法运算，已知2*3=15,4*4=20，求（-1）*1的值。"
4347,汽车开始行驶时，油箱中有油50升，如果每小时耗油5升，请你写出油箱内余油量y（升）与行驶时间x（小时）的关系式，并写出自变量的取值范围.
4348,已知a²+1=3a，则代数式a+1/a的值为______.
4351,2x²+x³=______
4356,已知△ABC中，∠A=60°，BD、CE分别平分∠ABC和∠ACB，BD、CE交于点O，试判断BE、CD、BC的数量关系，并加以证明．__img8705.jpg
4357,已知两个定点F1，F2的距离是2，动点P到这两个定点的距离之和是6，则动点P的轨迹是什么？
4358,请在括号内填写解方程的依据.2x+3=3x-2 2x-3x=-3-2（     ） -x=-5（      ）x=5 （      ）
4366,"在平面直角坐标系中，(a,4)是直线y=-x+2上一点，则a的值为_____"
4367,计算（3x-1）（-3x-1）=_____．
4369,用不等式表示“b的2倍与7的差是负数”_____．
4372,解方程：x²-4x-1=0．
4373,"已知空间向量的一个基底{ i ，   j ，k}，a＝ i −   j  + k，b＝ i  +  j  + k，c＝2 i +2k,则下列结论正确的序号是_____。①a与b共线；②a与c共面；③a，b，c共面。"
4374,在平面内，垂直于同一直线的所有直线都平行.上述正确结论的依据是_______________.
4375,三棱锥P-ABC中，PA⊥底面ABC，PA=3，底面ABC是边长为2的正三角形，则三棱锥P-ABC的体积等于______。
4377,在我国古代数学著作《九章算术》中记载了一道有趣的数学问题：“今有池方一丈，葭生其中央，出水一尺.引葭赴岸，适与岸齐.问水深、葭长各几何？”这个数学问题的意思是说：“有一个边长为1丈（1丈=10尺）的正方形水池，在水池正中央长有一根芦苇，芦苇露出水面1尺．如果把这根芦苇拉向岸边，它的顶端恰好到达岸边的水面．请问这个水池的深度和这根芦苇的长度各是多少？”
4384,我国古代数学著作《孙子算经》中有“鸡兔同笼”问题：“今有鸡兔同笼，上游三十五头，下有九十四足，问鸡兔各几何，”如果设鸡和兔分别有x头和y头，则用一元二次方程组表示题中的关系为_______________.
4385,方程x²-2x=0的根为____________.
4387,某商场销售一批衬衫，每件成本为50元，如果按每件60元出售，可销售800件；如果每件提价1元出售，其销售量就减少20件，物价部门规定商品定价时，利润不得超过进价的50%，如果商场销售这批衬衫，要获利润12000元，那么这种衬衫售价应定为多少元？
4388,解方程：4x+4=16
4389,写出一元二次方程3x+2y=4=0的任意2个解：_______________.
4391,"对于有理数x，y，定义新运算x*y=ax²+bx+y，其中a，b是常数，等式右边是通常的加法和乘法运算，已知2*3=15,4*4=20，求（-1）*1的值。"
4393,如图，有一直角三角形ABC，∠C=90°，线段PQ=AB，AC垂直于AQ，若P为线段AC上一动点，问点P运动到AC上什么位置时△ABC才能和△APQ全等?__img8727.jpg
4399,"在平面直角坐标系中，点O为坐标原点，点A坐标为（3,0），点B在正比例函数y=3x的图象上，若△OAB的面积为3时，求B点的坐标."
4400,已知点P的坐标为（2﹣a，3a+6），且点P到两坐标轴的距离相等，那么点P的坐标是_____
4401,已知点P（-1，2），那么点P关于直线x=1的对称点Q的坐标是______. 
4403,小明每天睡眠时间是8小时，占全天时间的_____．
4404,某校高二数学组有9名男教师，4名女教师，现从中任选男教师、女教师各一人去参加市组织的数学教研活动，则不同的选法种数有( )A 13种  B ．26种  C 36 种  D ．72种
4406,列方程解应用题：随着北京市城市副中心的建设和大运河森林公园“以水为魂，以林为体，林水相依”的独特设计理念的提升，到通州大运河森林公园观光旅游人数逐年上升，据统计，2015年到通州大运河森林公园观光旅游人数为160万人次，2017年到通州大运河森林公园观光旅游人数为230.4万人次，求2015年至2017年到通州大运河森林公园观光旅游人数的年平均增长率．
4407,"过点A（-1,2）的直线与圆x²+y²-2x+6y+6=0相交，求直线l的斜率的取值范围."
4411,在进行垂径定理的证明教学中，老师设计了如下活动：先让同学们在圆中作了一条直径MN，然后任意作了一条弦（非直径），如图1，接下来老师提出问题：在保证弦AB长度不变的情况下，如何能找到它的中点？在同学们思考作图验证后，小华说了自己的一种想法：只要将弦AB与直径MN保持垂直关系，如图2，它们的交点就是弦AB的中点.请你说出小华此想法的依据是_______________________________.
4412,《九章算术》是中国传统数学最重要的著作，奠定了中国传统数学的基本框架。它的数成就主要包括开方术、正负术和方程术．其中，方程术是《九章算术》最高的数学成就．《九章算术》中记载：“今有甲乙二人持钱不知其数．甲得乙半而钱五十，乙得甲太半而钱亦五十．问甲、乙持钱各几何？”译文：“假设有甲乙二人，不知其钱包里有多少钱．若乙把自己一半的钱给甲，则甲的钱数为50；而甲把自己2/3的钱给乙，则乙的钱数也能为50．问甲、乙各有多少钱？”设甲持钱为x，乙持钱为y，可列方程组为__________．
4415,已知Rt△ABC中，∠C＝90°，M为BC上的一点，MD⊥AB于点，且BC＝2，AC＝3，求∠DMB的三角函数值。
4418,解方程x2＋4x=0.
4427,关于x的方程2x+1=3x+4kd的解为正数，则k的取值范围为_______________.
4431,我国古代很早就开始对一次方程组进行研究，其中不少成果被收入古代数学著作《九章算术》中。《九章算术》的“方程”章，有许多关于一次方程组的内容。这一章的第一个问题是关于稻谷优劣与产出粮食关系的一个问题，翻译成现代汉语是这样的：上等谷3束，中等谷2束，下等谷1束，可得粮食39斗；上等谷2束，中等谷3束，下等谷1束，可得粮食34斗；上等谷1束，中等谷2束，下等谷3束，可得粮食26斗；设每束上等谷、中等谷、下等谷可得粮食x斗、y斗、z斗。①为了求上、中、下三等谷每束可得粮食几斗，请你根据题意列得关于x，y，z的三元一次方程组。（不用解方程组）②中等谷5束，下等谷1束，可得粮食24斗；中等谷8束，可得粮食39斗，请你求每束上等谷可得粮食多少斗。
4436,生物工作者为了估计一片山林中雀鸟的数量，设计如下方案：先捕捉100只雀鸟，给它们做上标记后放回山林；一段时间后，再从中随机捕捉500只，其中有标记的雀鸟有5只．请你帮助工作人员估计这片山林中雀鸟的数量约为_____只．
4439,圆（x+2）²+（y-2）²=m与圆x²+y²-2x+4y=0相交，求实数m的取值范围.
4442,解方程x2＋2x=3时，下列变形错误的有_____.（只填序号）x2＋2x＋3=0；②  x（x＋2）=0；③（x＋3）（x－1）=0；④（x＋1）2=2.
4444,"如图，在平面直角坐标系中，已知点A（―3，6）,B（―9，一3），以原点O为位似中心，相似比为1/3，把△ABO缩小，则点A的对应点A′的坐标是(  )‎A（―1，2）　　　　　　　　　B（―9，18）　　　 C（―9，18）或（9，―18）　　D（―1，2）或（1，―2）"
4446,"如图，已知∠C=∠D=90º,AD=CB，求证：EC=ED.__img8789.jpg"
4451,"已知一次函数y=kx+b（k≠0）的图象经过原点，且y随x的增大而减小，写出一组满足条件的实数k,b的值：k=_____，b=_____．"
4452,一种商品每件的进价为a元，售价为进价的1.1倍，现每件又降价10元，现在售价为每件210元.
4454,已知平行四边形ABCD的周长为20，对角线AC的长为6，用坐标法求|BD|的最小值.
4457,李阿姨家的营养早餐配方：200ml牛奶，50g面包，40g坚果，20g牛肉.某日早餐，她准备了200g面包，按照营养早餐配方，她需要准备      g牛肉
4460,如图，已知AD=4cm，CD=3cm，AD⊥DC，AB=13cm，BC=12cm，求四边形ABCD的面积．__img8807.jpg
4462,"某市为了鼓励市民节约用水,采用分段收费标准.每户居民每月应交水费y（元）与用水量x（吨）之间关系如图所示.若该用户某月交水费17元时，求该用户当月用水多少吨?__img8815.jpg"
4464,地图上1厘米代表5千米，房山区政府与天安门两地在地图上相距6.8厘米，则房山区政府与天安门两地实际相距_____千米
4466,解方程：4x+4=16
4470,点P（－2，0）在_____轴上，点Q（0，2）在_____轴上.
4476,已知一个正多边形的每个外角都等于72°，则这个正多边形的边数是_____.
4477, 地图上1厘米代表5千米，房山区政府与天安门两地在地图上相距6.8厘米，则房山区政府与天安门两地实际相距_____千米
4478,方程3x+y=9在正整数范围内的解是______________.
4479,已知：m²+2m-3=0．求证：关于x的方程x²-2mx-2m=0有两个不相等的实数根．
4480,用计算器求值：tan32°=_____．
4481,《九章算术》是中国传统数学最重要的著作，奠定了中国传统数学的基本框架。它的数成就主要包括开方术、正负术和方程术．其中，方程术是《九章算术》最高的数学成就．《九章算术》中记载：“今有甲乙二人持钱不知其数．甲得乙半而钱五十，乙得甲太半而钱亦五十．问甲、乙持钱各几何？”译文：“假设有甲乙二人，不知其钱包里有多少钱．若乙把自己一半的钱给甲，则甲的钱数为50；而甲把自己2/3的钱给乙，则乙的钱数也能为50．问甲、乙各有多少钱？”设甲持钱为x，乙持钱为y，可列方程组为__________．
4487,"求过两点A（0,0）B（4，-4），且圆心C在直线l:x+y+2=0上的圆的标准方程_______."
4488,在某个整点，时针和分针的夹角可能会等于90deg，写出一个可能的时刻______.
4500,已知椭圆mx²+（2-m）y²=m（2-m）的焦点在x轴上，求实数m的取值范围.
4501,关于x的方程2x+1=3x+4kd的解为正数，则k的取值范围为_______________.
4503,如图，__img8854.jpg，则AC=_____cm．__img8855.jpg
4509,列方程解应用题：随着北京市城市副中心的建设和大运河森林公园“以水为魂，以林为体，林水相依”的独特设计理念的提升，到通州大运河森林公园观光旅游人数逐年上升，据统计，2015年到通州大运河森林公园观光旅游人数为160万人次，2017年到通州大运河森林公园观光旅游人数为230.4万人次，求2015年至2017年到通州大运河森林公园观光旅游人数的年平均增长率．
4511,先化简再求值：（x-1）²-（x+2）（x-2）+（x-4）（x+5），其中x²-x-5=0.
4513,如图，已知AD=4cm，CD=3cm，AD⊥DC，AB=13cm，BC=12cm，求四边形ABCD的面积．__img8866.jpg
4514,"已知1∈{a+2,(a+1)²，a²+3a+3}，则实数a=_______."
4520,请你写出一个值恒为负数的分式_______
4522,x²-9=______×______
4527,直角三角形中两边长分别为1，2，则第三边的长为_____．
4530,"若x²+px+q=(x+2)(x-4)，则p=______,q=______."
4538,1724年，德国人华伦·海特制定了华氏温标，他把一定浓度的盐水凝固时的温度定为0°F，把冰水混合物的温度定为32°F，把标准大气压下水的沸点温度定为212°F.而我们广泛使用的是摄氏温标，摄氏温标规定：在标准大气压下冰水混合物的温度定为0°C，沸水的温度定为100°C.其实华氏温度(°F)与摄氏温度(°C)存在一次函数关系，试写出华氏温度y(°F)与摄氏温度x(°C)之间的函数表达式.
4541,已知：在△ABC中，__img8917.jpg，则BC的长为_____．
4545,如图在RtΔABC中，∠BAC=90°，DB⊥BC，DA=DB，点E是BC的中点，DE与AB相交于点G．求证：DE⊥AB.__img8922.jpg
4546,已知双曲线的渐近线方程为y=±2x，实轴长为2且焦点在x轴上，求该双曲线标准方程.
4548,解方程：4x+4=16
4549,在Rt△ABC中，∠C=90°，AC=4，AB=5，那么cosA的值是____________.
4550,地图上1厘米代表5千米，房山区政府与天安门两地在地图上相距6.8厘米，则房山区政府与天安门两地实际相距_____千米
4552,已知a²+1=3a，则代数式a+1/a的值为______.
4553,请你任写出一个解集为x＞1的一元一次不等式_____(不含x＞1)．
4554,计算（3x-1）（-3x-1）=_____．
4555,"已知点A(-2,-2)，B(-2,6)，C(4,-2)，点P为圆x²+y²=4上的动点，则|PA|²+|PB|²+|PC|²的取值范围是____________．"
4557,统计资料表明，A省某年的城市建成区域（城市建成区域是指城市行政区内实际已成片开发建设、基本具备市政公用设施和公共设施的地区，简称建成区）面积约为1316km²，城市建成区里的园林绿地面积约为373km²。五年后，该省建成区面积增加了300km²左右，此时城市建成区园林绿地率（城市建成区园林绿地面积占城市建成总面积的百分比）超过了35%根据以上资料，利用一元一次不等式解决问题；这五年，A省增加的绿地面积超过了多少平方千米？
4558,计算：(-3-2x)(2x-3)=___________.
4559,如图，△ABC是不等边三角形，DE=BC，以D，E为两个顶点作位置不同的三角形，使所作的三角形与△ABC全等，这样的三角形最多可以画出多少个？请在作答后完成作图.__img8929.jpg
4565,在Rt△ABC中，∠C=90°，∠A=25°，BC＝10，AB①≈_____，AC②≈_____（精确到0.1），∠B③=_____。
4571,"如图，在直角坐标系中，已知点A(-3,0)，B(0，4)，对△OAB连续作旋转变换，依次得到三角形①、②、③、④、…，则在得到第2017个直角三角形后，x轴上距离原点最远的点的横坐标为_____.__img8944.jpg  "
4572,若关于x的一元二次方程x2+（m+2）x-2=0的一个根为1，则m的值为_______．
4573,"若x²+px+q=(x+2)(x-4)，则p=______,q=______."
4581,20×20.1-1.9×201
4584, 解方程：4x+4=16
4587,设过点（-2，0）的直线与圆x²+y²=1相切，则切点坐标为_______.
4588,我国古代数学著作《孙子算经》中有“鸡兔同笼”问题：“今有鸡兔同笼，上游三十五头，下有九十四足，问鸡兔各几何，”如果设鸡和兔分别有x头和y头，则用一元二次方程组表示题中的关系为_______________.
4592,"写出下列命题的否定：①  p：一切分数都是有理数；②q：∀x∈R,2x＋4≥0"
4594,用长为18cm的钢条围成一个长方体形状的框架，要求长方体的长与宽之比为2：1．设长方体的宽为x（m），则长方体的体积V（x）=  _____，其中x的取值范围是_____．
4598,为解决“最后一公里”的交通接驳问题，北京市投放了大量的公租自行车供市民使用.到2013年底，全市已有公租自行车25000辆，租赁点600个。预计到2015年底，全市将有公租自行车50000辆，并且平均每个租赁点的公租自行车数量是2013年底平均每个租赁点的公租自行车数量的1.2倍.预计到2015年底，全市将有租赁点多少个？
4602,请你写出一个位于平面直角坐标系中第二象限内的点的坐标：_________．
4606,当x=√5-1时，求代数式x²+2x-5的值　    　．
4610,如图，正方形ABCD中，点E，F分别在边AB，BC上，AF=DE，AF和DE相交于点G．观察图形，写出图中所有与∠1相等的角，并加以证明．__img8991.jpg
4614,在数轴上作出表示__img8996.jpg的点．__img8997.jpg
4616, 列方程或方程组解应用题： 在“春节”前夕，某花店用1 3 000元购进第一批礼盒鲜花，上市后很快销售一空．根据市场需求情况，该花店又用6000元购进第二批礼盒鲜花．已知第二批所购鲜花的盒数是第一批所购鲜花的1/2，且每盒鲜花的进价比第一批的进价少10元．问第二批鲜花每盒的进价是多少元？  
